"external_submission_id";"search_query";"donation_platform"
"6223";"https://www.youtube.com/results?search_query=zelda+w%C3%A4chter+flieger+besiegen";"YouTube"
"6282";"https://www.youtube.com/results?search_query=beweissicherungs-+und+festnahmeeinheit";"YouTube"
"6282";"https://www.youtube.com/results?search_query=polnische+handwerker";"YouTube"
"6282";"https://www.youtube.com/results?search_query=gabi+fastner+4+von+7+bauch";"YouTube"
"6282";"https://www.youtube.com/results?search_query=Christoph+sieber+Mensch+bleiben";"YouTube"
"6282";"https://www.youtube.com/results?search_query=party+at+the+palace+2022";"YouTube"
"6906";"the ha recovery podcast";"YouTube"
"6906";"grow with anna app";"YouTube"
"6906";"#norepeats";"YouTube"
"6906";"Kate Noel";"YouTube"
"6906";"karton zuschneiden";"YouTube"
"6992";"https://www.youtube.com/results?search_query=heart+shaker+twice";"YouTube"
"6992";"https://www.youtube.com/results?search_query=(%EC%97%AC%EC%9E%90)%EC%95%84%EC%9D%B4%EB%93%A4((G)I-DLE)+-+%27Nxde%27++comeback";"YouTube"
"6992";"https://www.youtube.com/results?search_query=seventeen+mansae+mv";"YouTube"
"6992";"https://www.youtube.com/results?search_query=mansea+17";"YouTube"
"6992";"https://www.youtube.com/results?search_query=gee+gee+girls+generation+dance";"YouTube"
"6803";"stomper 98 niemand hat gesagt";"YouTube"
"6803";"it's cool man milka";"YouTube"
"6803";"breathe tenebre";"YouTube"
"6803";"acid live";"YouTube"
"6803";"chop suey cover";"YouTube"
"6897";"https://www.youtube.com/results?search_query=bloco+x+opernplatz";"YouTube"
"6897";"https://www.youtube.com/results?search_query=yes+roundabout+live";"YouTube"
"6897";"https://www.youtube.com/results?search_query=boiada";"YouTube"
"6897";"https://www.youtube.com/results?search_query=amon+d%C3%BC%C3%BCl+ii+archangels+thunderbird";"YouTube"
"6897";"https://www.youtube.com/results?search_query=amon+d%C3%BC%C3%BCl+ii+rockpalast";"YouTube"
"6623";"https://www.youtube.com/results?search_query=Flag-Variablen+spss";"YouTube"
"6623";"https://www.youtube.com/results?search_query=malm%C3%B6+union";"YouTube"
"6623";"https://www.youtube.com/results?search_query=schalke+augsburg";"YouTube"
"6623";"https://www.youtube.com/results?search_query=city+chelsea";"YouTube"
"6623";"https://www.youtube.com/results?search_query=union+dortmund";"YouTube"
"6698";"jessarae";"YouTube"
"6698";"francesco tristano";"YouTube"
"6698";"hrubesch";"YouTube"
"6698";"jerusalem hymn";"YouTube"
"6698";"van morrison hamburg";"YouTube"
"6739";"https://www.youtube.com/results?search_query=nightbirde";"YouTube"
"6739";"https://www.youtube.com/results?search_query=hornblower+frosch";"YouTube"
"6739";"https://www.youtube.com/results?search_query=super+mario+3d+land+domtendo";"YouTube"
"6739";"https://www.youtube.com/results?search_query=was+bin+ich";"YouTube"
"6739";"https://www.youtube.com/results?search_query=haie+und+kleine+fische";"YouTube"
"6782";"https://www.youtube.com/results?search_query=justin+bieber+under+the+mistltoe+in+wasington";"YouTube"
"6782";"https://www.youtube.com/results?search_query=difficulty+speaking+clearly";"YouTube"
"6782";"https://www.youtube.com/results?search_query=nicolr+kidman";"YouTube"
"6782";"https://www.youtube.com/results?search_query=jennifer+lopez+interview";"YouTube"
"6782";"https://www.youtube.com/results?search_query=aladdin+trailer";"YouTube"
"6877";"miracle miles";"YouTube"
"6877";"cosmic love florence and the machine";"YouTube"
"6877";"sommer yann";"YouTube"
"6877";"crossing lines music video Hickman";"YouTube"
"6877";"eurovision 2016 grand final  made in sweden";"YouTube"
"6889";"ue4 livelink face";"YouTube"
"6889";"ue4.26 chaos";"YouTube"
"6989";"https://www.youtube.com/results?search_query=gesetz+der+anziehung";"YouTube"
"6989";"https://www.youtube.com/results?search_query=dr.+joseph+murphy";"YouTube"
"6989";"https://www.youtube.com/results?search_query=dankbarkeit";"YouTube"
"6989";"https://www.youtube.com/results?search_query=verbotene+liebe+653";"YouTube"
"6989";"https://www.youtube.com/results?search_query=life+lion";"YouTube"
"7262";"https://www.youtube.com/results?search_query=i+have+nothing+whitney+houston";"YouTube"
"7262";"https://www.youtube.com/results?search_query=sverweis+excel";"YouTube"
"7262";"https://www.youtube.com/results?search_query=Swissvoice+S28+Gro%C3%9Ftasten-Handy";"YouTube"
"7262";"https://www.youtube.com/results?search_query=Angelina+Jordan+-+Fly+Me+To+The+Moon";"YouTube"
"7262";"https://www.youtube.com/results?search_query=grosz+gerald+zipfl";"YouTube"
"7298";"https://www.youtube.com/results?search_query=es+ist+ein+ros+entsprungen";"YouTube"
"7298";"https://www.youtube.com/results?search_query=die+welt+ist+schlecht+%C3%A4rzte";"YouTube"
"7298";"https://www.youtube.com/results?search_query=it+was+a+lover+and+his+lass+alto";"YouTube"
"7298";"https://www.youtube.com/results?search_query=der+l%C3%B6we+schl%C3%A4ft+heut+nacht";"YouTube"
"7298";"https://www.youtube.com/results?search_query=time+trap+ending";"YouTube"
"7327";"https://www.youtube.com/results?search_query=sigala+sweet+lovin";"YouTube"
"7327";"https://www.youtube.com/results?search_query=the+next+step+season+2+episode+10";"YouTube"
"7327";"https://www.youtube.com/results?search_query=feuerwerk+der+turnkunst+hamburg";"YouTube"
"7327";"https://www.youtube.com/results?search_query=you+raise+me+up";"YouTube"
"7327";"https://www.youtube.com/results?search_query=city+lights";"YouTube"
"7999";"https://www.youtube.com/results?search_query=explizit";"YouTube"
"7999";"https://www.youtube.com/results?search_query=Puhdys";"YouTube"
"7999";"https://www.youtube.com/results?search_query=Sinan+Sakic";"YouTube"
"7999";"https://www.youtube.com/results?search_query=enrique+iglesias+bailando";"YouTube"
"7999";"https://www.youtube.com/results?search_query=the+sword+in+the+stone";"YouTube"
"7996";"https://www.youtube.com/results?search_query=hyper+hyper";"YouTube"
"7996";"https://www.youtube.com/results?search_query=veganer+schmecken+besser";"YouTube"
"7996";"https://www.youtube.com/results?search_query=im+from+austria+fendrich";"YouTube"
"7996";"https://www.youtube.com/results?search_query=korfu+doku";"YouTube"
"7996";"https://www.youtube.com/results?search_query=femme+5";"YouTube"
"7999";"https://www.youtube.com/results?search_query=schmetterling+aus+geldschein+falten";"YouTube"
"7999";"https://www.youtube.com/results?search_query=darf+er+das";"YouTube"
"7999";"https://www.youtube.com/results?search_query=herzen+falten+aus+geldscheinen";"YouTube"
"7999";"https://www.youtube.com/results?search_query=scotland+yard+h%C3%B6rspiel";"YouTube"
"7999";"https://www.youtube.com/results?search_query=%C3%BCber+randgruppen+lachen";"YouTube"
"7862";"https://www.youtube.com/results?search_query=widerstand+-+kampf+gegen+hitler";"YouTube"
"7862";"https://www.youtube.com/results?search_query=Changing+Our+Minds:+The+Story+of+Dr.+Evelyn+Hooker";"YouTube"
"7862";"https://www.youtube.com/results?search_query=gymnastics+fails";"YouTube"
"7862";"https://www.youtube.com/results?search_query=erotische+geschichten";"YouTube"
"7862";"https://www.youtube.com/results?search_query=downton+abbey+thomas+suicide";"YouTube"
"7870";"https://www.youtube.com/results?search_query=stra%C3%9Fenmusiker+blindes+m%C3%A4dchen";"YouTube"
"7870";"https://www.youtube.com/results?search_query=sultan+of+swing+emanuel";"YouTube"
"7870";"https://www.youtube.com/results?search_query=irish+pub+playlist";"YouTube"
"7870";"https://www.youtube.com/results?search_query=mit+66+jahren+geburtstagslied";"YouTube"
"7870";"https://www.youtube.com/results?search_query=safe+home";"YouTube"
"7636";"https://www.youtube.com/results?search_query=rgb+pixel+todesstern";"YouTube"
"7636";"https://www.youtube.com/results?search_query=Charles+Marie+Widor+Symphonie+4";"YouTube"
"7636";"https://www.youtube.com/results?search_query=sweelinck+mein+junges+leben+hat+ein+end";"YouTube"
"7636";"https://www.youtube.com/results?search_query=pastor+gunnar+engel";"YouTube"
"7636";"https://www.youtube.com/results?search_query=Evangelische+Kirche+Deizisau";"YouTube"
"7669";"j.p.sauer doppelflinten";"YouTube"
"7669";"airbus a 400";"YouTube"
"7669";"speckhaken";"YouTube"
"7669";"räuchermehl mischung selber machen";"YouTube"
"7669";"ernie und bert mütze glatze";"YouTube"
